"Username","Content","Date","Rating","Source","Engagement"
"Cameron Jones","Ordered my dad a custom jersey, team logo on the front, the #1 on the back with his name.First one arrived with a crooked logo and no name or number on the back. Sent it back to fanatics and they exchanged it for a new one... which still had a crooked logo, the wrong number and name, as well as the wrong color on the back.Only reason they get 2 stars is because they were pretty quick to refund me. Still disappointing, was supposed to be a nice gift for my father, they had two chances to get it right and managed to mess up even more on their second chance. Not a good way to do business.",2023-02-27,2,"Trust Pilot",NA
"Ville","Ordered a ManU shirt on 6.1 and it was incompleted due to wrong address in 18.1 and i still havent got my money back. It was also said that by today i would get my money back=my order refunded, and today no money, and someone in chat was being mean to me and telling how i must know what is happening. I have not ordered before this and u can be sure i will not be ordering in the future. If i ask when i get the money and u guys say it will take 28 working days and if i have not been refunded by today contact again. I have not been refunded and i contacted again. And now u guys tell me it will take up to 7 days to get the money. Tell me that in the first place. Im not a psychic who can tell these things myself.",2023-02-27,1,"Trust Pilot",NA
"Karen","Terrible company never come back to you, or when they do it’s we can’t help you, but quick to take your moneyI sent an item back in January still not had a refund the company say we have not received the item back, I have never dealt with a company that you can never get hold ofI will never order from them again, looking at the reviews there a lot of unhappy customers",2023-02-25,1,"Trust Pilot",NA
"Ste Doyle","I placed an order for next business day delivery, only to notice a lead time of a week. I spoke to an agent who said in the T&C’s its from dispatch that next business day applies, not order. I find this to be very bad service that its not made clear at point of purchase. Also, when asking about the long lead time, i was told it takes an extra 3 working days for customisation. 3 DAYS! I can enter any sports shop and have this done in 20 minutes. The whole process seems flawed and just a way to take more money from consumers. Would not use your services again.",2023-03-06,1,"Trust Pilot",NA
"Gene M","Terrible products. One wash and the emblem came off. Sizes run smaller then they did under Majestic. Fanatics just sucks ..This has happened multiple times over the last few years. Not just the latest order. So no, you can't help Fanatics. I'm done with you.",2023-03-02,1,"Trust Pilot",NA
"Easton M.","After the Colorado Avalanche won the cup, I immediately jumped on to the NHLShop (Fanatics). I purchased a variety of things, but the major items were two autographed jerseys and three autographed pucks. Over $1,500.The site made me aware that those items would take 2-3 months as they were autographed. Cool, no biggie, I get it. I figured it was June, it would be here for the holidays and I can give my Dad a Jersey and a puck, since we watched the Avs all the time as a kid and them winning the cup again was all great memories.The orders finally got a ship date, which was actually in August. I was super excited. That date came and went, nothing. I contacted them to be told it had been delayed back to September. Ok, cool.That date came.... and went. Same story, contacted, now it was October.Well... Then the same thing happened, but moving to November, then December, January, February, and now I am being told April. Their agents just keep telling me that I can cancel the items and get a refund instead. They do not care. They have done nothing to make the situation better.Never, ever, ever... will I ever purchase from any site that has anything to do with Fanatics again.",2023-02-26,1,"Trust Pilot",NA
"CINDY SCHLIECHER","I can't believe how how inefficient this place is. I ordered a hat and a shirt and they shipped it in two separate packages. The first one arrived yesterday after nearly two weeks and the second one is still out there and still hasn't arrived yet. Why not put both items in the same box since I ordered and paid for them at the same time. It took nearly a week just to ship anything after I ordered it and now it's been another week just to get one package. I knew I should have ordered this stuff off Ebay. I would have saved money and wouldn't have had to pay two dollars for handling.",2023-02-25,1,"Trust Pilot",NA
"Will","This is my 2nd encounter with Fanatics. So bad. 1st time was trying to get World Cup merch, clicked on a Facebook ad and then got the classic bait and switch when the products rung up to purchase. Dealing with their contract center was impossible and a waste of time. 2nd time trying to get NFL merch, shipping within 3-7 days... product has currently been sat ""processing"" for 7 days with a projected delivery date 18 days after ordering.",2023-02-23,1,"Trust Pilot",NA
"Felicia Helton","I have placed THREE different orders with this site. First order 107-5419-8075 I had ordered in March of 2021. I was told I would have it by April 16th, 2021. On August 2, 2021 I finally cancelled my order with them because they said it was a ""very popular item and is taking longer than expected."" Then I purchased a jersey that was in stock, and received that order fairly quickly. I thought, maybe they had figured things out and gotten past these shipment delays. My husband really wanted a Pacers City Jersey. I saw it on there and you could put a custom name on it. So after having better luck the second go around, I placed a third order on December 29th 2022. 365-3262-9098. I was told I would get it by February 1st, 2023. I thought this was the PERFECT Valentines Day gift. When February 1st came and went I called. I was assured I would have this order in time for Valentine's Day. So I waited. Then my order got delayed again. I have reached out several times and heard ""It's a very popular item."" ""We are having manufacturing issues"" ""It's in stock, should be shipped out in a couple of days"" etc. It is now February 23rd, and I got another email stating it was delayed. I have given up and canceled another order. Only order from them if it is IN STOCK and Ready to ship THAT DAY. Do not PREORDER anything from them or use their Customized Product services because if you do, good luck on ever receiving that item.  If they cannot offer services in a timely manner, or have an actual delivery date then they just shouldn't offer those services. It's quite frustrating.",2023-02-23,1,"Trust Pilot",NA
"Peety","I have bought a few things from fanatics. It is some cheaply made junk. Threads unravel silk screening looks weak. Shirts are thin you can see thru them. I bought a hoodie that reminds me of a T-shirt with a hood and front pouch.",2023-02-18,1,"Trust Pilot",NA
"Jordan Adie","Ordered 2 jerseys for xmas gifts 3 months ago. Was told they'd arrive Dec 30... Then I was told no later than jan 30... it is now Feb 16 and I receive an email saying we have no idea where your order is sorry... Nobody has answers in their customer service. Avoid buying off these clowns if you can",2023-02-16,1,"Trust Pilot",NA
"Shane Willoughby","Ordered a NBA jersey back on 20/1/23 and was supposed to be shipped by 15/2/23 package still hasn't been shipped when will my parcel be shipped and when will I receive? Absolutely pathetic company how hard is it to send a package from US to Australia pick up your game and be more efficient in providing parcel without lengthy delays",2023-02-16,1,"Trust Pilot",NA
"Genet Kebede","I ordered a kit for my son Christmas gift and it was so small. The size they put on the website is misleading.  I pay return fee and returned. They send confirmation that they received my return and said the refund will take 14 business days. It has been one month, they don't respond to phone call and  email. I have never seen this bad customer service. It is very disappointing.",2023-02-16,1,"Trust Pilot",NA
"Jeremy Guenther","I ordered a team golf bag.  When I recieved the item it had a stain on it.  This was a gift and when I contacted them they said they could not do anything.  This company is trash.  How can you sell a damaged good and do nothing.  DO NOT BUY FROM THIS COMPANY.",2023-02-16,1,"Trust Pilot",NA
"Stephen Tang","The quality of the merchandise you guys sell is pathetic if I only knew,normally I buy my stuff at the shops or at the OT mega store. I only bought from this site as for some unknown reason they are connected to my Man UTD app on my phone,so I assumed there were legit.i guess not now, anyone buying stuff avoid this site at all cost.Not fit to be trading selling imitation stuff I should've read Trust pilot before I proceeded I've check in the sports shops and all team shirts are sewn on logos etc not heat pressed on.",2023-02-15,1,"Trust Pilot",NA
"Denny Bonomini","So I tried contacting Fanatics because they keep canceling my orders and blocked my number but yet they message me to send a message to a email address they send me but still they don't reply. So this is the email they just sent me that I have no idea where they came up with the fact I keep complaining about lost orders I have gotten everyone so they need to stop taking what ever drug they are on I was just trying to figure out why am i being discriminated for something that is 100% not true. They have sent me multiple times the wrong item or a authentic hockey jersey with NO nameplate or hoodies that are defective but I still tried to trust them and hang in there but then they solo me out just read what others have said and think twice before you order with them they make things up and this shows just how immature and childish they really are ""THEY DON'T care but here is the email they just sent me. Dear Dennis,This email is in response to your excessive lost packages on orders fulfilled by Fanatics, Inc. or one of its affiliated entities (“Fanatics Retail Group”).We believe our customer service team has acted diligently and in good faith to resolve any and all concerns you have brought to our attention, and we now consider all matters closed. Accordingly, we have decided to no longer do business with you or communicate with you other than in writing. Effective immediately, we no longer plan to respond to your contacts of other types, such as contacts via phone, email, social media, or other electronic means.If you wish to continue communicating with us, you may do so in writing at the following address:Fanatics Retail GroupCustomer Service Department7215 Financial Way",2023-02-15,1,"Trust Pilot",NA
"stuart clark","Terrible company. Customer service is non-existent they simply stall. My son has had an older he placed mid December it’s now mid feb and order does not move to out for delivery. Had another issue with a faulty top and 2 people have been stuck for hours with customer services trying everything under the sun such as we haven’t received your email etc. the email was sent whilst they sat on the phone.",2023-02-13,1,"Trust Pilot",NA
"Bryan Garcia","Worst experience ever i orders a Argentina jersey for $130 for christmas its been almost 2 months and haven’t received anything idk what is taking so long. Honestly never ordering from this website again its unbelievable",2023-02-11,1,"Trust Pilot",NA
"Becky","Ordered a Cardinals Baker limited edition Jersey. Delivered was the same Jersey but a different player. After a lot of faf trying to get hold of CS all they could tell me to do was return for a refund. Now not only is my original order now OUT OF STOCK so I can't now have it. They also expect me to go out of my way to return an item I didn't order! What sort of customer service or business is this?! Shameful. Disgusted. Wish I'd read reviews on them before I ordered.",2023-02-11,1,"Trust Pilot",NA
"WRC IOM","A really poor company to say the least.Ordered an item, the item was going to takes weeks with no date of delivery, I decided to cancel, 3 times I requested to cancel of which they confirmed.  They still sent the goods then wouldn’t refund me when the goods were returned.Don’t use them simple.I’ve contacted you many times with no joy so I’ll continue with my review, don’t use them simple !!",2023-02-10,1,"Trust Pilot",NA
"RN","Yet another dissatisfied customer! I wish I could give 0 stars! I will never purchase from here again!  I opted for a store credit on a return since I didn't want to pay the return shipping. I checked many weeks after the return was received and no credit issued. I had to call them to ask where my credit was. They finally issued a credit via e-gift card. I went to use my e-gift card on the website and no link to enter the e-gift card information to apply to my order. I contacted them through chat and the rep was extremely slow and didn't know what they were talking about. Answered my question with ""it might be...."" basically I don't know. huh? Isn't this the customer service help chat? Then the chat rep gave me a phone # to call because they couldn't help me. I called and it was the completely wrong # with a completely different company. I found the correct # on the website and was informed that the e-gift option is a known issue and is not available at this time. No timeframe for when it might be available. I asked to talk to someone to complain about the whole process and how poorly run the company is. I was told, there's no way to track the complaint. Well, no wonder it's run so poorly. There's no accountability! I'm beyond frustrated and will never purchase from here again. I'm pretty sure the e-gift card option will NEVER be available and is just a ploy to basically gave customers return products and not give them credit for it. This company is a DISASTER!",2023-02-10,1,"Trust Pilot",NA
"Janet Zar","Terrible customer service due to not shipping item when originally stated they would ship by 2/9 expedited. Lied and now it's coming after the superbowl 2/23 - I needed it for a party -not after - not happy -very disappointed - kept saying it was a special item - it was weeks before they needed them to be shipped out -Fraud",2023-02-10,1,"Trust Pilot",NA
"Nathan","I ordered a baseball display case that was supposed to come with 3 acrylic stands, but they weren’t accompanying the case upon arrival. I called Sports Memorabilia warehouse and Matthew helped me out. Great communication and made sure everything ended up right with my order.",2023-02-10,4,"Trust Pilot",NA
"Penny Gartland","Ordered an Eagles shirt 2/3. Paid $25 to have shipped next day. Still I don't have it. Says still processing. Customer service is useless. They just say I'll have it tomorrow. I don't think it's physically possible being Thursday night and it still hasn't shipped. And besides, I paid for expedited shipping! I should have had it 2/4 or 2/5 at least  So disappointed. Just noticing all these poor reviews. Should of done my homework.Update. They send an email that all of a sudden my shipment date has changed till after the superbowl! What a crappy business. Don't buy from here!",2023-02-10,1,"Trust Pilot",NA
"costesseque","Hello,Very unhappy.I'm still waiting for the delivery of my order of 2/1/23.In which sorting center is it located.Thank you for your replyBest regardsJean-Philippe",2023-02-09,1,"Trust Pilot",NA
"VEGASGIRLYOURS.COM","Ordered 28th of November and just got my refund now, over 2 months later ( mdse returned Jan 11 th because I could not get the same answer from cust service reps) and 15 phone calls and customer service stating they would put in a ""ticket"". Never heard back, either call, email or anything. Worst company to do business with. I am writing corporate office. Do not use them. Fanatics, please dont tell me to contact you to resolve. Doesnt work.",2023-02-11,1,"Trust Pilot",NA
"Simon Morgan","Bought a Dallas Cowboy's top. Way too big and when I tried to return it, the nightmare began! Cut off several times on the phone. On-Line chat sends you in to a continuous loop requesting order number, telephone number and email. All of which bounce and take you back to the start! UK telephone number 0161 804 3500 just rings and rings!",2023-02-09,1,"Trust Pilot",NA
"Lauren stafford","Placed an order back in November last year and still have not received this item , still says order shipped . Tried emailing them last month and still got no reply. AVOID !!!",2023-02-09,1,"Trust Pilot",NA
"Youll Log","Only my 2nd ever order dealing with Fanatics. First in 2018 after Eagles won the SuperBowl and purchased a nice looking - and pricy SB Champs wool jacket. It sat in ""Processing"" for 4 weeks!! (My card ALREADY charged) Eventually receiving email they cannot deliver my item, order was cancelled from them. Figured I'd try ONE more time with them. SB LVII, the SB Eagles Hoodie. All sizes available 5-6am Mon. morning. (D-cks Sporting Goods..already showing low supply!) So..this was my only & final resort. And to no shock...order ""processing, processing..."" on and on. - OH and meanwhile it sells out and I am actually seeing the hoodie on Ebay, other sites marked up 200-300%!!Finally overnight as I slept. Email received that ""my order taking longer than expected - oh so sorry!"" Forget it..I'm canceling the order, want my refund...I'll drive to the actual Eagles stadium 60 miles to the north this morn. and - well...maybe they will have it in stock? *5 years ago with my cancelled order, I DID get it from the stadium one day later.  And as for the Eagles GREEN jerseys, forget it. Maybe Fanatics AND NIKE will get it together by March? Who knows.",2023-02-09,1,"Trust Pilot",NA
"ValL","I ordered the Toronto Blue Jays Personalized Name Bar Frame to offer as a gift. It is such bad quality, that I will probably throw it away. It would be too embarrasing to offer. They say the front panel is glass but it's a cheap fiberglass. and it's damaged. The frame looks like MDF covered with black paper or thin vinyl that does not stick on the corners so we can see the material under it. Paying an expensive price like this I expected a better quality. Looks like I put money in the garbage. They should be ashamed to sell people such a bad product.Tried to contact them online with the chat. I waited over an hour for an answer. I missed the reply so they hung up.Looks like the customer service is as bad quality as the product I bought.",2023-02-09,1,"Trust Pilot",NA
"Michael Hallahan","Ordered an Eagles Superbowl Jersey as a gift on January 31st.  They took my payment and it's now February 8th and the item still says processing.   When the order was placed the item said it was in stock.  The Superbowl is in 4 days and I will not be able to gift this item to the person I ordered this for.  What a terrible company.  I wish I had read reviews prior to giving them my business.  Customer service said the item will ship on the 16th.  If this information had been shared I would not have placed this order.",2023-02-09,1,"Trust Pilot",NA
"Tiffany Schemenauer","I wish I would of known or thought to read the reviews before I placed my order. I order on Dec 24th and still have yet to receive my order I haven't even gotten an email other than my package order and when I got to track it it says not shipped. I email to ask what's going on about 3 weeks later and they say it has been shipped and they haven't updated it online well today is Feb 8th and I still haven't received anything further nor have I gotten my package. This is by far the worst I've ever experienced!",2023-02-08,1,"Trust Pilot",NA
"Bee Marie","I will never order from here again.  Received my shipment a week after Christmas. The women's jerseys I ordered are more like youth sizes. I've sent several emails since the beginning of January about returning the jerseys. The only response I get is then asking what size I would like to exchange it for and I have to pay another shipping fee. I've explained to them several times i want to return the items.  I have yet to receive a return address a month after my first request to return the items. Definitely bad customer service.",2023-02-08,1,"Trust Pilot",NA
"Christopher Outram","Please please please never, ever use this company, all the other reviews are spot on and this is now the 3rd I have left as they keep ripping me off, they ignore emails even when told to email customer.first@fanatics which they make out to be some kind of escalation, it is not, they continue to feed you rubbish about how sorry they are and will correct the erorr, they refunded me incorreclty and have now completely ignored my last 6 emails asking them to look into it. Please save yourself a load of hassle and DO NOT buy from fanatics, utter disgrace and I cannot believe they get away with this. This company nneds some serious investigating as it is the good consumer that is paying here and it is not fair! Shame on you fanatics, shame on you!",2023-02-07,1,"Trust Pilot",NA
"Tappo","Avoid avoid avoid. If I could give zero stars I would. I ordered goods in November and despite receiving a dispatch notice in December still have not received goods. The tracking number just says waiting to be routed. And I paid expedited shipping. I’m starting to believe this is a scam organisation (even though I purchased through a club store website).  I suspect my credit card details were stolen and used for fraudulent activities shortly after my purchase.",2023-02-07,1,"Trust Pilot",NA
"Tracey","If I could give 0 as a rating I would. I returned an item that did not fit and used the chat feature to follow up on the refund. I received different responses from everyone and one person even disconnected the chat when I asked for a supervisor and said their information contradicted the previous person.",2023-02-06,1,"Trust Pilot",NA
"TJ","I paid for an item, they charged my credit card and 10 days later still not processed. Always have problems with them. Like pulling teeth to get in touch with them. Would not recommend them!!!",2023-02-06,1,"Trust Pilot",NA
"Dan Kelly","Getting the run around from Tina and Jessica 15 of December good were ordered and never arrived it's now February is this a fraud company please help",2023-02-06,1,"Trust Pilot",NA
"customer","Total trash! Paid $45 for what was supposed to be a custom tshirt. Tshirt arrived not customized guess they didnt even bother to actually read the order. The quality of this is zero. Cheap screen print garbage. Had it not been for the option to customize I would never have paid this kind of money for a tshirt, especially when this same tshirt sells on amazon for $19.99. Never again fanatics!",2023-02-06,1,"Trust Pilot",NA
"Ms. Christy McCracken-Mann","Bought a Green Bay Packers t-shirt for my son. I bought one at Christmas and one for his birthday. The green one came in a leprachaun green colour not the green that was advertised in the picture at all.  Then I made the mistake of ordering a white one with a Green Bay  logo. It looked so nice online. Had a rich green logo. It came two days ago and it is so faded it doesn't even look green. It is a washed out grey colour. I won't order from Fanatics again. The quality isn't what is pictured at all. What a disappointment.",2023-02-06,1,"Trust Pilot",NA
"MD Buffalo","I ordered a Nike sweatshirt that was $80 and the quality was approximately $20. The sweatshirt was thin and the pockets were mesh. The area around the print was sticky and leaked through the sweatshirt, so when I went to put it on the front side had to peel itself away from the back. I also ordered a teeshirt that was similarly sticky and tacky. To be able to return these items, I have the choice for “store” credit or a $9.99 fee on EACH ITEM to return the funds to my card. If I could give negative stars, I would. Absolutely absurd way to run a business.",2023-02-04,1,"Trust Pilot",NA
"Kyle Reading","If it was possible to give minus stars I would. Received a defective football jersey. Had an initial response  however completely ignored in regards to refund or replacement. Order 451-1214-7096",2023-02-04,1,"Trust Pilot",NA
"S Powell","Awful customer service. My item arrived damaged. It took numerous emails and online “chats” to get this acknowledged and free return postage arranged. I have returned the item, and still awaiting the refund. I have emailed- no one replies, I have used the “chat” - they keep getting shut down or they tell me to email, and I have called - the customer service agent says they can’t do the refund!! I have no idea how I get my money back from this terrible retailer so I’ll be going to my credit card company. Fanatics should spend less on advertising and more on customer service!!",2023-02-03,1,"Trust Pilot",NA
"Rachel Newsome","I would give zero stars but am not able. Sent out wrong item. This was returned and they aren't refunding. 12 phone calls from my elderly mother and they still haven't refunded. They rip off pensioners!",2023-02-02,1,"Trust Pilot",NA
"EA","Purchased a NFL Jersey picture frame from Fanatics as a Christmas present. First one came damaged in shipping. They had me ship it back and reorder another one. Received the new one, and this one was also damaged/defective and separated in one corner of the frame. They had the corner protective cardboard piece on it holding it together and we did not notice the damage until we unpacked it to put it up. Not sure if this is a defect issue or if it was damaged in shipping, either way it cannot be repaired due to to the v nails used in the corners. The corner was not reinforced properly since it came apart like this and it hasn’t even been hung up yet. Imagine how dangerous this would have been had it separated while on the wall! I  called customer service, sent pictures and now they refuse to exchange the item or even send me a refund. When I questioned if this was a known issue with the item, the representative acknowledged that they have have had some returned for being defects/damage from time to time. Now I am out over $222.91 and my son is still waiting for his Christmas present. Buyer beware Fanatics does not stand by their products.",2023-02-02,1,"Trust Pilot",NA
"Natalia Dembska","CUSTOMER SERVICE... I have never received my parcel! I have contacted via e-mail several times - no reply at all since 2months.I have contacted customer service via phone twice, obviously was waiting so long - they promised me to send mi a disclaimer form to fill up and I will receive my refund back - still waiting for email...",2023-02-02,1,"Trust Pilot",NA
"George Rosner","There is no 0 so I’ll give a 1 ! I’ve ordered several times with no issues. This one time I ordered the wrong size for my baby grandson! I thought simple return, like they say! Ha.. Only automated, sent me a link. Link was a joke, didn’t recognize my order number and could never get anything done! Over and over again! I am a loyal customer who is done with this company!",2023-01-31,1,"Trust Pilot",NA
"Andrea Becci","If I could give zero stars it would be better. I bought 300 euros of merchandising but instead than send it to my new address, they delivered everything to my old address, and they said via chat ""Casey"", that they are not responsible for that, but they never give it to me a resolution, nor a refund",2023-01-30,1,"Trust Pilot",NA
"Patrick Woltmann","Truly terrible. Their products are cheap and you cannot speak to anyone ever. Just poor service all around. Support your team any other way you can - this company does not deserve your money.",2023-01-30,1,"Trust Pilot",NA
"Kendall","I bought an NBA jersey off this webiste and then I was I was getting charged with random Uber trips in London the very next day after purchasing. My card was used in 20 different transactions just in for ""Uber trips"" across 4 consecutive days after I had purchased from this site. These totalled up to $919.86 NZ of fraudulent purchases. I contacted support team and they said there was nothing they could do about my payment details getting leaked through purchasing on their online website. DO NOT BUY FROM FANATICS INTERNATIONAL!!!! You might get your payment details leaked and money spent from your account and they won't help you. It's been 2 weeks and my jersey hasn't arrived yet either so lets hope I didn't get scammed out of that too.",2023-01-30,1,"Trust Pilot",NA
"David Watson","On December 28th 2022 I ordered a Brock Purdy 49ers Jersey from the San Francisco 49ers website.  The jersey was marketed to me on the website as being available and a very popular item. As a life long 49er fan and someone who had just watched Brock Purdy break a record and get his jersey in the hall of fame. I thought it would be nice to have one.  So I went ahead and ordered it through what I thought was the 49er website.  It took me to another site. NFL.shop.com. I saw that the jersey  had a ship date of January 11th. So I went ahead and ordered it.  They took my money immediately.  As soon as I get the order confirmation notification(five minutes at most,later) via email the ship date had changed to January 21st.Slightly annoyed by this tactic I went to try to talk to their customer service. I got an annoying chat bot that only allows stressful multiple choice picks for why you are there. Of course mine isnt there.  After several frustrating minutes with the AI chatbot I was sent to a cancelation page.  I could not cancel my order because it said I needed to have an account number to cancel and then go into my orders to start the cancelation process.  I checked out as a guest and had now hit a brick wall with fanatics because I did not create an account when they took my money.So I thought whatever just wait until the 21st when it ships. I immediately started getting several emails a day from all their companies, nfl.shop.com,fanatics.com and several others that I did not open.  All of these emails had ""Information about your order"" in the subjct line to make you think there would be info about your order but nope, just the same tired January 21st ship date.  Like an idiot I bought another Jersey for my daughter and that jersey shipped and arrived fairly quick.  From that point on any of the emails I received would refer to that order,the one I had received for my daughter and not the one I had paid 150 dollars for and not received. When I would try to check on that order and put in the details for it instead of showing me those details it would instead show me the order for my daughter which had been delivered. I am not sure how this could happen since I put the order number in.  Horrible experience so far but it gets better.So on January 20th about 830pm  I get yet another generic automated email thanking me for the patience I ran out of weeks ago and letting me know that unfortunately there would be another delay and now the item would ship January 30th. Even more annoyed I tried to cancel again with the AI chat bot.  The chat bot did not show me a ship date but now had a delivery date of February 13th.  They bait you in with a ship date but then take that away and give you a delivery date that is quite away out from that ship date.   I got stuck at the account screen again and could not cancel again because I did not create an account. No where did I see before they took my money that I would need to create an account in order to receive customer service.  But that was the case two times.  I could not get any help with their ""fan advocates"" either time as I was informed they were busy helping other fans and I should try back later.  Very frustrating waste of time on both occasions.  If you are still reading this then you probably know whats coming next.January 29th I had not received a shipping notification or another delay email as I had unsubscribed to all of their emails so I went back to the chat bot and now saw that my delivery date had again changed to February 23rd.  At this point I just want to cancel,  So again with the chat bot and the confirming of the order number and email and names.  This time I do get a fan Advocate and again I confirm everything and after I say I dont want this anymore and I want to cancel. She comes back and this is verbatim because I took screen shots of the entire chat exchange to prove that she refused to help me because I would not give her  my phone number. She said "" I'll Be more than happy to help you with this!  To be sure that I have the correct information, do you mind providing your phone number please?""Now as I mentioned I checked out as a guest and did not use my phone number, nor do I want this horrible company to have my phone number.  I informed the rep that I had not used my phone number and I dont wish to give it and I had already confirmed my order number, email address and do not want to provide more info.  She insisted that I provide the phone number or she would not help me.  I let her know I would not be playing games with them and wanted the order canceled or I would take all this information to the bank and charge back the item since they had never shipped it. I did manage to screen shot the entire conversation in the 45 seconds before she read my message and quickly sent me the canned ""I cant help you without your phone number message""  and then left the chat without saying anything further. She was of no help",2023-01-29,1,"Trust Pilot",NA
"Sphiwe Motsoene","I've ordered my two items for December 28, 2022. I'm still waiting for my items. Tracking number: LTN229224238. I'm worried if I will ever get the item I paid for with my hard-earned money. From 9th January its been in Belgium",2023-01-29,1,"Trust Pilot",NA
"Lee","Once again Fanatics online payment system failed. Bought a hoody on the England Rugby shop site,authorised the transaction on my banking app, and it said failed on the site, but has been deducted from my bank and showing as pending. Which will then take 10 working days before it appears back on my bank balance. And it’s not the first time this has happened. About time the RFU used a proper company to facilitate their merchandise.",2023-01-27,1,"Trust Pilot",NA
"Steven","Not only is their merchandise cheap crap but shipping is by Lasership which has a F rating from BBB. Stay away",2023-01-26,1,"Trust Pilot",NA
"Andy Elliott","Got some fab NBA items in their sale at big reductions. Items shipped separately with some taking longer than others but overall, a great experience and would 100% use again.",2023-01-26,4,"Trust Pilot",NA
"ThatBoy Smiles","Another day another order and yet again fantastic service arrived within the delivery window and great quality can’t go wrong. (I’m not normally a review but after reading loads of bad reviews thought I’d help to this company on better tracks) only slight discrepancy is the 49ers shorts photo on website is different in person but that could be down to new logos or what not. Never the less my partner loves her training shorts and is over the moon with them. Quality of hoodies is amazing and I like how the Nike tick is sewn in to the sleeve. Perfect over sized hood (I got XL even though I’m I medium) will defiantly be buying from here again in the future great quality great service!! Keep up the amazing work 🤙🤙",2023-01-26,5,"Trust Pilot",NA
"Melissa","I ordered my son a jersey on December 15th as a Christmas present, knowing that it would be a bit late, which he was fine with. It’s going on a month and a half now and it’s still in the processing stage with no updates as to when it might be shipped. I wish I would have done more research prior to ordering from this company. I have a very disappointed little boy, as I’m probably going to have to cancel the order after waiting so long.",2023-01-26,1,"Trust Pilot",NA
"Grahame Redgrave","Don't purchase clothing from this company. £90 Aston Martin Gilet fell to bits after one wash. Customer Service non existent. AVOID",2023-01-25,1,"Trust Pilot",NA
"Jeff Cavin","Was shipped out",2023-01-25,5,"Trust Pilot",NA
"Fábio Alexandre","My package is in process for almost one month, this is unnaceptable,Shipment Data Uploaded terça, 13/12, 05:25 WET Salt Lake City, UT United StatesCompany such as your's should ask the distribuitor company landmark global, to ensure such package is distribuited and sent, especially with expensive package, please I need a resolution on this matterI already talked with the distribuitor, they said that you failed to deliver the packageDistribuitor tracking number:LTN226840710",2023-01-24,2,"Trust Pilot",NA
"William A Davis","I placed an order Nov 25 2022 that was supposed to be received Jan 11, 2023. As of Jan 23, 2023 after 3 calls and promises of an escalation, there is still no update on the order.  The Jersey's I ordered were for two Chicago Sky WNBA jerseys and I was told they've been having issues with the manufacturer.",2023-01-24,1,"Trust Pilot",NA
"Eugene DiGregorio","Purchased two items a Georgia bulldog back to back championship beach towel and a Georgia bulldog championship football. The football has not arrived and will not according to them, until March 8. The towel came and it is very poor quality. I went online to return the towel and found that I will be charged $9.99 for the return. On a $33 item? Ridiculous!",2023-01-22,1,"Trust Pilot",NA
"Robert","I don't even know what to say about this company. Seems like a scam honestly. Bought a custom jersey 2 months ago and still haven't received it. I understand it was the holiday season, but we ordered it in November to avoid these issues. Spoke to multiple representatives and they give you a song and a dance on the phone. I just want my jersey and to be done with this company. NEVER SHOPPING HERE AGAIN",2023-01-20,1,"Trust Pilot",NA
"Mary Pacheco-Montes","Fanatics/NFL shop has the worst customer service and shipping. The shipping says 3 to 7 days it is more like 10 to 14 days at least if you are lucky. The customer service says they can't do anything to resolve the issues.",2023-01-20,1,"Trust Pilot",NA
"Christian Hughes","The size guide was totally wrong for the item I ordered. So I sent the item back using their returns service that I paid for and 11 days later the item still has not arrived back to them and subsequently no refund! no one available to call and the ""Live"" chat is not ""Available"" what an absolute joke! One star is one too many",2023-01-20,1,"Trust Pilot",NA
"Thomas Ball","Horrible sports site would not recommend. Unfortunately, you get what you pay for. Less than half price, you get what you pay for. Buy from a quality website that is authentic.",2023-01-20,1,"Trust Pilot",NA
"Chelsea","After being transferred around and speaking with numerous representatives who were not helpful at all and actually told me incorrect information regarding a damaged item I received I was finally put in contact with Matthew. He was amazing. So helpful and he actually resolved my issue which no one else could seem to do and he did it quickly. So thank you Matthew!",2023-01-20,4,"Trust Pilot",NA
"Mike","This is the second order I've placed with Fanatics. The first one I waited over two weeks and never received it. They did reship the item but the total process took close to a month. My second order which was placed on January 10 still has not shipped. I received an email saying that it will not ship until January 27th. This is unacceptable being that they charged my credit card within seconds of my order being placed. If merchandise is out of stock or you're behind on shipping you should not bill credit cards. This will be the last order that I place with them. I should have just gone to Dick's and paid 5$ more and had it in my hand. This practice will eventually  catch up with Fanatics and I hope their days are numbered.",2023-01-17,2,"Trust Pilot",NA
"Andrew Balls","My merchandise arrived on time and was good quality so I thought it was only fair to Fanatics and Evri to post a positive review given some of the negative feedback.",2023-01-17,5,"Trust Pilot",NA
"Carlos Mota","Todos los números de la camiseta se han despegado por completo en el primer lavado. Muy mala experiencia y me gustaría que me devolvieran el dinero. He pagado 125 euros para nada.Hello, I received my jersey this January and was really happy with it but, when i washed it for the first time, all the prints went off. I washed it on low revolutions, cold temperature and inside out but it still was damaged. I demand an explanation because I didn’t pay 125$ for just wearing the jersey once. I bought other jerseys from this store and they are fine after many washes, so this is not normal. I am from Madrid, Spain and I am overly disgusted with said performance. I expect a reply of what happened and how can I get a refund or order another jersey. Down below I will attach the details of the order. Thank you very much.",2023-01-16,1,"Trust Pilot",NA
